state,nutrient,claim_text,threshold,threshold_100kcal,threshold_rdi,threshold_rdi_100kcal,condition,special_rule,saturate_fat_energy<=10%Energy
solid,พลังงาน (energy),ต่ำ (Low),energy<=40,,,,2,,
solid,"ไขมันทั้งหมด (total fat, fat)","ปราศจาก, ไม่มี (free, without, free of, no)",fat<=0.5,,,,2,,
solid,"ไขมันทั้งหมด (total fat, fat)",ต่ำ (Low),fat<=3,,,,2,,
solid,ไขมันอิ่มตัว (saturated fat),"ปราศจาก, ไม่มี (free, without, free of, no)",saturated_fat<=0.1,,,,2,,
solid,ไขมันอิ่มตัว (saturated fat),ต่ำ (Low),saturated_fat<=1.5,,,,2,,TRUE
solid,คอเลสเตอรอล (cholesterol),"ปราศจาก, ไม่มี (free, without, free of, no, zero)",cholesterol<=5,,,,2,saturated_fat<=1.5,TRUE
solid,คอเลสเตอรอล (cholesterol),"ต่ำ (low, low in, low source of, a little)",cholesterol<=20,,,,2,saturated_fat<=1.5,TRUE
solid,น้ำตาลทั้งหมด (total sugars),"ปราศจาก, ไม่มี (free, without, free of, no, zero)",sugar<=0.5,,,,2,,
solid,โซเดียม (sodium),"ปราศจาก, ไม่มี (free, without, free of, no, zero)",sodium<=5,,,,2,,
solid,โซเดียม (sodium),"ต่ำมาก (very low, very low in)",sodium<=40,,,,2,,
solid,โซเดียม (sodium),"ต่ำ (low, low in, low source of, little, contains a small amount of)",sodium<=120,,,,2,,
solid,ใยอาหาร (dietary fiber),"แหล่งของ, มี (source of, contains, good source of)",fiber>=3,fiber>=1.5,,,2,,
solid,ใยอาหาร (dietary fiber),"สูง, มาก (high, rich in, excellent source of)",fiber>=6,fiber>=3,,,2,,
solid,โปรตีน (protein),"แหล่งของ, มี (source of, contains, good source of)",protein>=5,protein>=2.5,,,2,,
solid,โปรตีน (protein),"สูง, มาก (high, rich in, excellent source of)",protein>=10,protein>=5,,,2,,
liquid,พลังงาน (energy),"ปราศจาก, ไม่มี (free, without, free of, no)",energy<=4,,,,2,,
liquid,พลังงาน (energy),ต่ำ (Low),energy<=20,,,,2,,
liquid,"ไขมันทั้งหมด (total fat, fat)","ปราศจาก, ไม่มี (free, without, free of, no)",fat<=0.5,,,,2,,
liquid,"ไขมันทั้งหมด (total fat, fat)",ต่ำ (Low),fat<=1.5,,,,2,,
liquid,ไขมันอิ่มตัว (saturated fat),"ปราศจาก, ไม่มี (free, without, free of, no)",saturated_fat<=0.1,,,,2,,
liquid,ไขมันอิ่มตัว (saturated fat),ต่ำ (Low),saturated_fat<=0.75,,,,2,,TRUE
liquid,คอเลสเตอรอล (cholesterol),"ปราศจาก, ไม่มี (free, without, free of, no, zero)",cholesterol<=5,,,,2,saturated_fat<=0.75,TRUE
liquid,คอเลสเตอรอล (cholesterol),"ต่ำ (low, low in, low source of, a little)",cholesterol<=10,,,,2,saturated_fat<=0.75,TRUE
liquid,น้ำตาลทั้งหมด (total sugars),"ปราศจาก, ไม่มี (free, without, free of, no, zero)",sugar<=0.5,,,,2,,
liquid,โซเดียม (sodium),"ปราศจาก, ไม่มี (free, without, free of, no, zero)",sodium<=5,,,,2,,
liquid,โซเดียม (sodium),"ต่ำมาก (very low, very low in)",sodium<=20,,,,2,,
liquid,โซเดียม (sodium),"ต่ำ (low, low in, low source of, little, contains a small amount of)",sodium<=60,,,,2,,
liquid,ใยอาหาร (dietary fiber),"แหล่งของ, มี (source of, contains, good source of)",,fiber>=1.5,,,2,,
liquid,ใยอาหาร (dietary fiber),"สูง, มาก (high, rich in, excellent source of)",,fiber>=3,,,2,,
liquid,โปรตีน (protein),"แหล่งของ, มี (source of, contains, good source of)",protein>=2.5,protein>=2.5,,,2,,
liquid,โปรตีน (protein),"สูง, มาก (high, rich in, excellent source of)",protein>=5,protein>=5,,,2,,
solid,วิตามินเอ,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,วิตามินดี,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,วิตามินอี,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,วิตามินเค,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,วิตามินบี1/ไทอามีน,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,วิตามินบี2/ไรโบฟลาวิน,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,ไนอะซิน,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,กรดแพนโททีนิก,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,วิตามินบี6,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,ไบโอติน,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,โฟเลต,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,วิตามินบี12,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,วิตามินซี,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,แคลเซียม,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,ฟอสฟอรัส,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,แมกนีเซียม,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,เหล็ก,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,ไอโอดีน,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,สังกะสี,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,ซีลีเนียม,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,ทองแดง,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,แมงกานีส,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,โมลิบดีนัม,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,โครเมียม,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,โพแทสเซียม,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,คลอไรด์,"เป็นแหล่งของ, มี (source of, contains, good source of)",,,>=15,>=5,2,,
solid,วิตามินเอ,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,วิตามินดี,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,วิตามินอี,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,วิตามินเค,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,วิตามินบี1/ไทอามีน,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,วิตามินบี2/ไรโบฟลาวิน,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,ไนอะซิน,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,กรดแพนโททีนิก,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,วิตามินบี6,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
solid,ไบโอติน,"สูง, อุดม (high, rich in, excellent source of)",,,>=30,>=10,2,,
